dataset,model,method,seed,split_seed,model_seed,protected_attribute,privileged_group,unprivileged_group,n_train,n_val,n_test,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms,implementation_loc_added,implementation_dependencies_added,implementation_hyperparams,implementation_stage,implementation_complexity_score,method_hyperparams,aif360_version,sklearn_version,notes
adult,rf,dir,46,46,46,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8347153123272526,0.6468225844554689,-0.19502618311608896,-0.09831594672290633,0.3120566874021727,2.1197468999307603,3.653199994005263,11.915299983229488,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
adult,rf,dir,47,47,47,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8381426202321725,0.6573033707865169,-0.20746164477468323,-0.09906915728291843,0.2891353518550978,2.126795900054276,3.739299951121211,11.992449988611042,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
adult,rf,dir,48,48,48,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8440022111663903,0.6688570758038019,-0.19406756020745886,-0.10303920460964855,0.3220958108542656,2.1206775000318885,3.6447500460781157,12.03350001014769,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
adult,rf,dir,49,49,49,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8350469872857933,0.6481132075471698,-0.18508404375149828,-0.06223716089832909,0.341420063434354,2.1127594999270514,3.6556999548338354,12.245599995367229,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
adult,rf,dir,50,50,50,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8351575456053068,0.6517168885774351,-0.19935912745756132,-0.08379781317867407,0.3130435483883356,2.0892717000097036,3.669199999421835,11.865400010719895,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
adult,rf,dir,51,51,51,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8365948037589829,0.6517436380772855,-0.1897713380944808,-0.08454474698401937,0.3294306768490164,2.0835234000114724,3.6550500080920756,12.57955003529787,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,lr,dir,42,42,42,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.666936790923825,0.5950738916256157,-0.1883467883467883,-0.1610576923076923,0.7512400908627325,0.2815140999155119,6.293349957559258,14.121650019660592,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,lr,dir,43,43,43,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6588330632090762,0.6017029328287606,-0.12805077805077802,-0.027944711538461564,0.8126086174866664,0.2723115000408143,6.284550006967038,14.013350009918213,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,lr,dir,44,44,44,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6758508914100486,0.624765478424015,-0.23295308295308292,-0.15865384615384615,0.6874111985933072,0.2736000999575481,6.584749964531511,14.232200046535581,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,lr,dir,45,45,45,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.673419773095624,0.6098741529525653,-0.2068503568503568,-0.12259615384615385,0.7259395902929027,0.21765909995883703,6.332000019028783,15.654600050766021,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
