dataset,model,method,seed,split_seed,model_seed,protected_attribute,privileged_group,unprivileged_group,n_train,n_val,n_test,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms,implementation_loc_added,implementation_dependencies_added,implementation_hyperparams,implementation_stage,implementation_complexity_score,method_hyperparams,aif360_version,sklearn_version,notes
adult,rf,reweighing,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8511885019347706,0.6412579957356077,-0.08248152437258205,0.14700159429568538,0.5742754118182705,3.5507674999535084,4.265550058335066,7.409999961964786,6,0,3,preprocessing,2,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8492923485183547}",0.6.1,1.5.2,tuned_hp
adult,rf,dir,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.854726368159204,0.6579906298802707,-0.16828866725281064,-0.1277194039593768,0.27328811722371865,1.0410144999623299,3.4550499403849244,7.7480500331148505,24,1,5,preprocessing,3,"{""n_estimators"": 100, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8523883237505528, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
adult,rf,eqodds,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8323935876174682,0.5980911983032874,-0.0907972423668195,-0.017741247065617194,0.5429447964618302,0.9817149001173675,2.007549977861345,3.977849963121116,22,0,3,postprocessing,3,"{""n_estimators"": 100, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8533834586466166}",0.6.1,1.5.2,tuned_hp
adult,lr,baseline,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8478717523493643,0.6625796959293772,-0.18728219511328,-0.1205450733752621,0.29016444235773575,0.09093110007233918,0.04339986480772495,0.15490001533180475,0,0,1,none,1,"{""C"": 1.0, ""val_acc"": 0.843874391862008}",0.6.1,1.5.2,tuned_hp
adult,lr,reweighing,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8349364289662797,0.6217380288826957,-0.08518386803089839,0.11683237298986926,0.6059600771237382,0.10754160000942647,0.04340009763836861,0.08765002712607384,6,0,1,preprocessing,2,"{""C"": 0.1, ""val_acc"": 0.8400044228217602}",0.6.1,1.5.2,tuned_hp
adult,lr,dir,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8478717523493643,0.6609167077378019,-0.17745440174697508,-0.1012314992656197,0.31334817676360605,0.3202671001199633,1.567099941894412,3.508750000037253,24,1,3,preprocessing,3,"{""C"": 1.0, ""val_acc"": 0.8446483856700575, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
adult,lr,eqodds,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8177998894416805,0.6001940805434255,-0.08662684543129226,0.0025295321307071683,0.6329330199837123,0.09500109986402094,0.11410005390644073,0.2503999276086688,22,0,1,postprocessing,3,"{""C"": 1.0, ""val_acc"": 0.843874391862008}",0.6.1,1.5.2,tuned_hp
adult,rf,baseline,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8528468767274737,0.6459164671455174,-0.15771963096779398,-0.11910455817923898,0.2797037646302542,1.8358016000129282,3.7337499670684338,7.6613499550148845,0,0,3,none,1,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8519460415745246}",0.6.1,1.5.2,tuned_hp
adult,rf,reweighing,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8476506357103372,0.6249319542732716,-0.07121927940400101,0.12657389623269177,0.6075226353422111,1.838933699997142,3.6917499965056777,7.402349961921573,6,0,3,preprocessing,2,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8501769128704113}",0.6.1,1.5.2,tuned_hp
adult,rf,dir,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.85085682697623,0.6403625699813383,-0.158425544762279,-0.14043610891424696,0.2743087949598832,2.113411699887365,5.332499975338578,11.14159997086972,24,1,5,preprocessing,3,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8505086245024326, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
adult,rf,eqodds,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.824433388612493,0.5663571818678318,-0.07127009984768354,0.02291643128836668,0.6043861548454948,1.9325058998074383,3.872099914588034,7.93754996266216,22,0,3,postprocessing,3,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8519460415745246}",0.6.1,1.5.2,tuned_hp
adult,lr,baseline,789,789,789,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.844776119402985,0.6593886462882096,-0.18743187023579236,-0.08603861459470996,0.3025843999635904,0.07836789987049997,0.04279986023902893,0.11625001206994057,0,0,1,none,1,"{""C"": 0.1, ""val_acc"": 0.8476337903582486}",0.6.1,1.5.2,tuned_hp
adult,lr,reweighing,789,789,789,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8379215035931454,0.6314731020613373,-0.09530109273984266,0.13681442147152234,0.572440505312653,0.08558639977127314,0.047900015488266945,0.10785006452351809,6,0,1,preprocessing,2,"{""C"": 1.0, ""val_acc"": 0.8460858027421495}",0.6.1,1.5.2,tuned_hp
adult,lr,dir,789,789,789,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.847208402432283,0.664073894020418,-0.18561765841016487,-0.09322549868815821,0.30552608930608655,0.2256727998610586,1.552449888549745,3.4954999573528767,24,1,3,preprocessing,3,"{""C"": 0.1, ""val_acc"": 0.8502874834144184, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
