dataset,model,method,seed,split_seed,model_seed,protected_attribute,privileged_group,unprivileged_group,n_train,n_val,n_test,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms,implementation_loc_added,implementation_dependencies_added,implementation_hyperparams,implementation_stage,implementation_complexity_score,method_hyperparams,aif360_version,sklearn_version,notes
adult,rf,dir,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8478717523493643,0.6743965925224799,-0.18984756876000458,-0.07489423668386497,0.3244701312071166,2.436183499870822,5.033800029195845,23.09349994175136,24,1,2,preprocessing,3,"repair_level=0.5,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.5
adult,rf,dir,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8463239358761747,0.6712393566698203,-0.19219121593149585,-0.07526770358653756,0.31851360947867974,3.1961715002544224,4.510099999606609,17.81425008084625,24,1,2,preprocessing,3,"repair_level=0.75,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.75
adult,rf,dir,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8427860696517413,0.6620722433460076,-0.19042782454955087,-0.09330395812149284,0.31803384357797204,3.3837530000600964,3.90174996573478,13.69599997997284,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=1.0
adult,lr,dir,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8486456605859591,0.6640490797546013,-0.18326269923202063,-0.1004845654602744,0.30106056120504815,0.377857499755919,1.6055500600486994,3.6952500231564045,24,1,2,preprocessing,3,"repair_level=0.25,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.25
adult,lr,dir,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8487562189054726,0.6637168141592921,-0.18211628586811626,-0.10243035940697232,0.3023826590271531,0.3518934000749141,1.554399961605668,3.834350034594536,24,1,2,preprocessing,3,"repair_level=0.5,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.5
adult,lr,dir,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8489773355444997,0.6643734643734643,-0.1794196817993825,-0.09996045644559937,0.31098328486350346,0.46694130008108914,1.564650097861886,5.043950048275292,24,1,2,preprocessing,3,"repair_level=0.75,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.75
adult,lr,dir,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8478717523493643,0.6609167077378019,-0.17745440174697508,-0.1012314992656197,0.31334817676360605,0.5054381999652833,1.6427000518888235,4.224800039082766,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=1.0
adult,rf,dir,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8391376451077943,0.6533238027162259,-0.18005789072646156,-0.06770107583574991,0.3444046029959606,2.657674399903044,4.451450076885521,17.54680008161813,24,1,2,preprocessing,3,"repair_level=0.25,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.25
adult,rf,dir,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8383637368711996,0.650740563784042,-0.1797684593838222,-0.07353845767584333,0.3423210227695516,2.9681669999845326,4.495949950069189,14.816149952821434,24,1,2,preprocessing,3,"repair_level=0.5,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.5
adult,rf,dir,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8386954118297402,0.651373954599761,-0.1816207865422116,-0.059990082727626515,0.3367365295294594,2.878721399931237,6.34570000693202,24.109499994665384,24,1,2,preprocessing,3,"repair_level=0.75,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.75
adult,rf,dir,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.835599778883361,0.6436616343158399,-0.1821756321099166,-0.07765287035990909,0.3319132674695791,3.17631039978005,4.197250003926456,17.779850051738322,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=1.0
adult,lr,dir,789,789,789,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8451077943615257,0.6605282287375818,-0.18623463642820548,-0.0846169296626873,0.307461211918013,0.8301697003189474,1.7003000248223543,4.422849859111011,24,1,2,preprocessing,3,"repair_level=0.25,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.25
