model,method,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms
lr,baseline,0.6669 ± 0.0069,0.6079 ± 0.0116,-0.1647 ± 0.0301,-0.0940 ± 0.0464,0.7703 ± 0.0377,0.0429 ± 0.0277,0.0483 ± 0.0035,0.2927 ± 0.0687
lr,dir,0.6692 ± 0.0049,0.6107 ± 0.0084,-0.1245 ± 0.0267,-0.0544 ± 0.0474,0.8196 ± 0.0356,0.0335 ± 0.0063,0.8056 ± 0.0595,194.4041 ± 14.8857
lr,eqodds,0.6336 ± 0.0133,0.5157 ± 0.0314,-0.0166 ± 0.0404,0.0036 ± 0.0333,0.9777 ± 0.0567,0.0321 ± 0.0062,0.1246 ± 0.0057,0.6453 ± 0.0371
lr,reweighing,0.6603 ± 0.0069,0.5977 ± 0.0126,-0.0192 ± 0.0386,0.0322 ± 0.0542,0.9713 ± 0.0619,0.0313 ± 0.0182,0.0461 ± 0.0004,0.3472 ± 0.0506
rf,baseline,0.6497 ± 0.0129,0.6059 ± 0.0143,-0.1558 ± 0.0254,-0.1065 ± 0.0418,0.7680 ± 0.0325,0.8714 ± 0.1218,2.3672 ± 0.1997,10.4100 ± 0.4106
rf,dir,0.6333 ± 0.0115,0.5952 ± 0.0117,-0.1099 ± 0.0275,-0.0687 ± 0.0398,0.8241 ± 0.0419,0.6413 ± 0.0517,2.7889 ± 0.0448,190.4968 ± 5.9777
rf,eqodds,0.6250 ± 0.0154,0.5488 ± 0.0404,-0.0279 ± 0.0417,-0.0098 ± 0.0587,0.9571 ± 0.0664,0.6619 ± 0.0583,2.1885 ± 0.0829,7.6832 ± 0.6155
rf,reweighing,0.6489 ± 0.0097,0.6037 ± 0.0118,-0.1422 ± 0.0272,-0.0912 ± 0.0433,0.7863 ± 0.0365,0.6856 ± 0.0676,2.1052 ± 0.0305,7.4121 ± 0.2064
