model,method,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms
lr,baseline,0.8482 ± 0.0026,0.6635 ± 0.0062,-0.1856 ± 0.0065,-0.1021 ± 0.0211,0.2964 ± 0.0173,0.1027 ± 0.0058,0.0444 ± 0.0022,0.2047 ± 0.0600
lr,dir,0.8479 ± 0.0022,0.6617 ± 0.0053,-0.1767 ± 0.0060,-0.0764 ± 0.0249,0.3180 ± 0.0170,0.1034 ± 0.0199,0.2031 ± 0.0384,38.4770 ± 6.9771
lr,eqodds,0.8210 ± 0.0035,0.6066 ± 0.0150,-0.0920 ± 0.0071,-0.0019 ± 0.0392,0.6126 ± 0.0204,0.1151 ± 0.0122,0.1234 ± 0.0079,0.5403 ± 0.1166
lr,reweighing,0.8416 ± 0.0038,0.6371 ± 0.0089,-0.0866 ± 0.0073,0.1518 ± 0.0191,0.6013 ± 0.0281,0.1037 ± 0.0210,0.0468 ± 0.0076,0.2021 ± 0.0686
rf,baseline,0.8418 ± 0.0032,0.6597 ± 0.0073,-0.1882 ± 0.0043,-0.0720 ± 0.0184,0.3230 ± 0.0101,2.0655 ± 0.1761,2.2291 ± 0.2798,9.1106 ± 1.7064
rf,dir,0.8418 ± 0.0036,0.6600 ± 0.0081,-0.1816 ± 0.0042,-0.0529 ± 0.0190,0.3432 ± 0.0106,2.0235 ± 0.1435,2.1887 ± 0.0992,40.5847 ± 1.1146
rf,eqodds,0.8137 ± 0.0034,0.6093 ± 0.0158,-0.0893 ± 0.0116,0.0145 ± 0.0385,0.6557 ± 0.0263,2.3546 ± 0.3158,2.5859 ± 0.5703,10.7631 ± 2.9852
rf,reweighing,0.8409 ± 0.0034,0.6556 ± 0.0076,-0.1809 ± 0.0039,-0.0568 ± 0.0177,0.3371 ± 0.0073,2.3311 ± 0.2170,2.4007 ± 0.5357,9.9522 ± 2.2952
