dataset,model,method,seed,split_seed,model_seed,protected_attribute,privileged_group,unprivileged_group,n_train,n_val,n_test,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms,implementation_loc_added,implementation_dependencies_added,implementation_hyperparams,implementation_stage,implementation_complexity_score,method_hyperparams,aif360_version,sklearn_version,notes
adult,lr,eqodds,2048,2048,2048,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8190160309563295,0.5805790417627466,-0.0855382180324085,0.0781455956012503,0.5954327193602739,0.1129196999827399,0.1154000638052821,0.65179995726794,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,
adult,lr,eqodds,4096,4096,4096,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8266445550027639,0.6223506743737958,-0.1001084726706934,-0.0333327056578666,0.5892054206134045,0.0990581000223755,0.116499955765903,0.6621499778702855,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,
adult,lr,eqodds,8192,8192,8192,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8214483139856275,0.6052309948667808,-0.0891102488229104,-0.0120670608468597,0.6181704004823217,0.1196575999492779,0.1270999200642109,0.4527000128291547,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,
adult,lr,eqodds,16384,16384,16384,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.824433388612493,0.613625304136253,-0.0967581683554248,-0.0065309632307711,0.5933892801251041,0.1296051001409068,0.1143000554293394,0.6933999829925597,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,
adult,lr,eqodds,32768,32768,32768,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8170259812050856,0.5960458872345619,-0.0840445873608441,0.0038790343840621,0.6383535937806099,0.1035297998460009,0.1174500212073326,0.5305000813677907,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,
adult,rf,baseline,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8381426202321725,0.6563380281690141,-0.1949118371178032,-0.0888882612134221,0.3195359191301849,2.2658467000583187,2.154850051738322,8.974499942269176,0,0,0,none,1,,0.6.1,1.5.2,
adult,rf,baseline,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8482034273079049,0.6747216299455105,-0.188524676947479,-0.067333885687744,0.3268235804436804,2.21938670007512,2.726450038608164,8.091999974567443,0,0,0,none,1,,0.6.1,1.5.2,
adult,rf,baseline,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8398009950248756,0.6535978962467129,-0.1838133654869228,-0.0761590027492186,0.329931695723492,1.9450351999839768,2.0589500200003386,8.164099999703467,0,0,0,none,1,,0.6.1,1.5.2,
adult,rf,baseline,789,789,789,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8441127694859039,0.6658767772511849,-0.1923931046019583,-0.057375814408918,0.3158111259757963,2.364069200004451,2.0864999969489872,8.149899949785322,0,0,0,none,1,,0.6.1,1.5.2,
adult,rf,baseline,1024,1024,1024,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8401326699834163,0.654066985645933,-0.1934025479542709,-0.1148583336471711,0.3020591265905564,1.8822225000476465,2.787450037430972,13.222749985288829,0,0,0,none,1,,0.6.1,1.5.2,
