"dataset","model","method","seed","batch_size","latency_ms_median","latency_ms_mean","latency_ms_std","latency_ci_lo","latency_ci_hi","throughput_per_sec","aif360_version","sklearn_version","notes"
"adult","lr","baseline","42","1","0.08330005221068859","0.08460899349302053","0.004486837994406637","0.082949991337955","0.08369994175154716","12004.794396415584","0.6.1","1.5.2","multi_batch"
"adult","lr","baseline","42","32","0.08904992137104273","0.09021200239658356","0.003638358230850605","0.0887999776750803","0.08950009942054749","359348.9978128803","0.6.1","1.5.2","multi_batch"
"adult","lr","baseline","42","128","0.18235004972666502","0.1897729979828","0.031370385690385964","0.17695012502372265","0.18745371780823913","701946.6141734897","0.6.1","1.5.2","multi_batch"
"adult","lr","baseline","42","256","0.21154992282390594","0.2229150151833892","0.03328077088709161","0.20849984139204025","0.21469988860189915","1210116.2533303984","0.6.1","1.5.2","multi_batch"
"adult","lr","baseline","42","1024","0.48770010471343994","0.5624780035577714","0.21059047440810227","0.4616999067366123","0.5466998554766178","2099650.974243026","0.6.1","1.5.2","multi_batch"
"adult","lr","reweighing","42","1","0.09360001422464848","0.0994920008815825","0.015107436931561776","0.09330012835562229","0.09400001727044582","10683.759060120545","0.6.1","1.5.2","multi_batch"
"adult","lr","reweighing","42","32","0.10305002797394991","0.12964200228452682","0.05179839291125051","0.1025001984089613","0.10400009341537952","310528.7851846998","0.6.1","1.5.2","multi_batch"
"adult","lr","reweighing","42","128","0.19129994325339794","0.20613102009519935","0.04563133186393614","0.18790015019476414","0.1963501563295722","669106.3145295858","0.6.1","1.5.2","multi_batch"
"adult","lr","reweighing","42","256","0.21460000425577164","0.23637999780476093","0.055197944070424027","0.21154992282390594","0.22070016711950302","1192917.0313290658","0.6.1","1.5.2","multi_batch"
"adult","lr","reweighing","42","1024","0.41640002746134996","0.44141598977148533","0.08304857622976398","0.404000049456954","0.43620006181299686","2459173.70909647","0.6.1","1.5.2","multi_batch"
"adult","lr","dir","42","1","3.1697499798610806","3.682675997260958","2.1997421200685072","2.77970009483397","3.4171000588685274","315.48229556068225","0.6.1","1.5.2","multi_batch"
"adult","lr","dir","42","32","3.2702001044526696","3.6456330097280443","1.032385110368595","3.029492517816834","3.7108000833541155","9785.333917771313","0.6.1","1.5.2","multi_batch"
"adult","lr","dir","42","128","4.671499948017299","4.886118010617793","1.790921140710173","4.218150163069367","5.153700010851026","27400.1929625037","0.6.1","1.5.2","multi_batch"
"adult","lr","dir","42","256","5.072250030934811","5.394292999990284","1.3880668203778495","4.553949926048517","5.778619879856705","50470.69810019193","0.6.1","1.5.2","multi_batch"
"adult","lr","dir","42","1024","7.089849910698831","7.358100989367813","1.2039720323344871","6.804599892348051","7.190299918875098","144431.83041925164","0.6.1","1.5.2","multi_batch"
"adult","lr","eqodds","42","1","0.20729994866997004","0.2322820038534701","0.06648401551209819","0.20570005290210247","0.21590013056993484","4823.927870778399","0.6.1","1.5.2","multi_batch"
"adult","lr","eqodds","42","32","0.18224993254989386","0.2580120088532567","0.12088217188440337","0.1775000710040331","0.2054001670330763","175583.0553804978","0.6.1","1.5.2","multi_batch"
"adult","lr","eqodds","42","128","0.3733000485226512","0.419302002992481","0.15310929285556257","0.33929990604519844","0.39063869917299576","342887.71326594986","0.6.1","1.5.2","multi_batch"
"adult","lr","eqodds","42","256","0.5683499621227384","0.6006069993600249","0.1938462635335553","0.5535825213883072","0.5834000185132027","450426.703722935","0.6.1","1.5.2","multi_batch"
"adult","lr","eqodds","42","1024","0.76299998909235","0.8860580041073263","0.22355633283019097","0.7493500597774982","0.8165999315679073","1342070.7924493295","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","42","1","1.9396500429138541","2.140464009717107","0.4299232084432259","1.9076000899076462","2.0125500159338117","515.5569189675795","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","42","32","3.415949991904199","4.033539006486535","1.676574369690683","3.255499992519617","3.724499954842031","9367.818637813783","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","42","128","6.160500110127032","6.582462007645518","1.2903430952325479","5.796700017526746","6.414900068193674","20777.533919622085","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","42","256","8.803000091575086","8.960907005239278","0.7731906508359299","8.67650005966425","8.989749941974878","29080.994812780347","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","42","1024","20.606350037269294","21.202081996016204","1.8772936278680372","20.418799947947264","20.80340008251369","49693.41965694853","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","42","1","2.3447000421583652","3.158524993341416","2.2394715254721116","2.1935999393463135","2.710399916395545","426.4937868468116","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","42","32","4.649900016374886","5.655335013289005","2.3712851145632428","4.114300012588501","5.505500012077391","6881.868403043117","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","42","128","6.6426999401301146","7.134665972553194","1.6035042209172994","6.492799962870777","6.837428602739237","19269.27321023818","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","42","256","10.311849880963564","11.993119998369366","5.9169357299974665","9.972849977202713","10.716850054450333","24825.807488973915","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","42","1024","24.11845000460744","25.932465989608318","6.128813627444547","22.882699850015342","25.710799964144826","42457.123065718624","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","42","1","3.815400064922869","4.619932007044554","1.6682914401040652","3.542550024576485","4.196800058707595","262.09571289615616","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","42","32","8.716150070540607","9.900758997537196","3.5548493307813565","7.725300034508109","10.686800116673112","3671.3456905882813","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","42","128","9.706350043416023","11.329028003383428","2.6753797405329807","9.492099983617663","11.019301274791358","13187.243343528962","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","42","256","16.416049911640584","16.0935030085966","2.4505475110520227","16.126699978485703","16.757350065745413","15594.494496417861","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","42","1024","35.65740003250539","35.88176599703729","5.123562203725101","34.83354998752475","36.120799952186644","28717.741592671326","0.6.1","1.5.2","multi_batch"
"adult","rf","eqodds","42","1","2.2334499517455697","2.5195469986647367","0.6495356461248397","2.104000188410282","2.446899889037013","447.7378144150678","0.6.1","1.5.2","multi_batch"
